id,first_name,last_name,Gender,Country,Institute,Department,Qualification,Year,Quarter,Status,Reason,Cohort,CohortKey,Fees,Other Charges,Expenditures
41,Edin,Slinn,Male,Singapore,nus,science,Phd.,2015,Q4,Active,NA,June Intake,3,4571,1102,396
42,Abbye,Battisson,Female,Singapore,smu,science,Phd.,2005,Q4,Withdrawn,homesick,Sept intake,1,1713,861,341
43,Kettie,Loft,Female,Singapore,ntu,arts,Degree,1998,Q4,Withdrawn,homesick,Sept intake,1,1920,1984,490
44,Wolfgang,Rodenburgh,Female,Singapore,ntu,arts,Degree,1999,Q4,Active,NA,Sept intake,1,4176,1521,329
45,Cloe,Tann,Female,Singapore,smu,arts,Phd.,2016,Q4,Active,NA,March Intake,2,2229,1334,488
46,Tait,Bright,Male,Singapore,nus,science,Degree,2005,Q2,Active,NA,Sept intake,1,4944,1354,298
47,Merralee,Jinks,Female,Singapore,smu,engineering,Phd.,1994,Q3,Withdrawn,homesick,June Intake,3,3290,921,286
48,Lenna,Ferrara,Female,Singapore,smu,engineering,Phd.,1991,Q3,Active,NA,March Intake,2,1596,1908,412
49,Dix,Senechault,Male,Singapore,smu,science,Degree,2019,Q4,Withdrawn,homesick,June Intake,3,1834,1537,292
50,Janela,Petrussi,Female,Singapore,ntu,engineering,Phd.,1999,Q3,Active,NA,Sept intake,1,4100,1166,308
51,Maddy,Allchorne,Female,Singapore,smu,science,Bachelor,1994,Q2,Withdrawn,homesick,Sept intake,1,1802,1095,396
52,Brander,Oertzen,Male,Singapore,ntu,engineering,Phd.,2003,Q4,Active,NA,Sept intake,1,1262,1122,361
53,Carlene,McGeady,Female,Singapore,smu,arts,Phd.,1992,Q4,Withdrawn,homesick,March Intake,2,1218,1681,316
54,Leonora,Gliddon,Male,Singapore,nus,engineering,Phd.,1999,Q4,Active,NA,March Intake,2,2697,898,486
55,Itch,Itzkowicz,Male,Singapore,smu,science,Bachelor,2015,Q4,Withdrawn,Academically unprepared,Sept intake,1,4472,1812,218
56,Virginia,Holburn,Female,Singapore,ntu,arts,Phd.,2010,Q2,Active,NA,June Intake,3,3734,1893,315
57,Birgit,Ivashinnikov,Male,Singapore,ntu,science,Phd.,2016,Q2,Active,NA,March Intake,2,1452,935,402
58,Ralph,Fosdyke,Female,Singapore,nus,engineering,Phd.,1999,Q3,Withdrawn,homesick,Sept intake,1,1693,1833,318
59,Deena,Vakhrushev,Female,Singapore,smu,engineering,Degree,2018,Q2,Withdrawn,Expensive,March Intake,2,4504,1900,313
60,Robbyn,Boyne,Male,Singapore,ntu,science,Phd.,1999,Q2,Active,NA,Sept intake,1,2330,1975,284
61,Stanly,Ouchterlony,Male,Singapore,ntu,science,Degree,2016,Q4,Active,NA,June Intake,3,4348,984,281
62,Giovanna,Danks,Female,Singapore,smu,arts,Phd.,2000,Q3,Withdrawn,Academically unprepared,Sept intake,1,1963,1946,261
63,Giralda,Tunsley,Female,Singapore,ntu,science,Degree,1990,Q2,Active,NA,Sept intake,1,2908,1560,234
64,Margaux,Anelay,Male,Singapore,smu,engineering,Phd.,1995,Q4,Active,NA,March Intake,2,4602,1499,488
65,Cecilla,Cradey,Male,Singapore,nus,science,Degree,2013,Q4,Active,NA,March Intake,2,1717,1757,232
66,Selena,Emblem,Male,Singapore,ntu,engineering,Phd.,2010,Q4,Active,NA,March Intake,2,1876,1342,403
67,Bidget,Askie,Female,Singapore,smu,engineering,Phd.,1998,Q4,Active,NA,Sept intake,1,2488,1327,472
68,Pasquale,Coade,Female,Singapore,ntu,engineering,Degree,2008,Q4,Withdrawn,homesick,Sept intake,1,4033,1056,394
69,Joline,Morilla,Male,Singapore,nus,arts,Phd.,1994,Q2,Active,NA,Sept intake,1,1754,1029,494
70,Danny,Scannell,Female,Singapore,smu,engineering,Bachelor,2019,Q4,Active,NA,March Intake,2,4068,889,437
71,Carmela,Barlass,Female,Singapore,smu,science,Phd.,2003,Q4,Active,NA,June Intake,3,4883,953,310
72,Guinevere,Cardenas,Male,Singapore,smu,engineering,Degree,2013,Q4,Withdrawn,Academically unprepared,Sept intake,1,1979,1544,477
73,Haley,Danks,Male,Singapore,ntu,engineering,Phd.,2008,Q1,Active,NA,June Intake,3,4696,1488,242
74,Grazia,Tenny,Female,Singapore,smu,arts,Phd.,1999,Q3,Active,NA,Sept intake,1,4880,1957,473
75,Frederik,Tarpey,Male,Singapore,smu,engineering,Bachelor,1993,Q4,Active,NA,Sept intake,1,4087,1201,215
76,Craggy,Maddocks,Male,Singapore,smu,science,Phd.,2016,Q4,Active,NA,Sept intake,1,4694,1333,280
77,Kyla,MacConneely,Female,Singapore,smu,science,Bachelor,2012,Q4,Active,NA,Sept intake,1,3130,628,297
78,Mikel,Measey,Female,Singapore,smu,arts,Bachelor,2016,Q3,Withdrawn,homesick,June Intake,3,2779,1934,219
79,Daniella,Eloi,Female,Singapore,nus,arts,Phd.,2014,Q1,Withdrawn,homesick,Sept intake,1,3962,648,307
80,Lionel,Roddy,Female,Singapore,smu,engineering,Phd.,2004,Q3,Active,NA,June Intake,3,1963,1261,325
81,Ivory,Collisson,Female,Singapore,nus,science,Phd.,2008,Q1,Withdrawn,Expensive,Sept intake,1,4636,682,431
82,Georg,Heifer,Female,Singapore,smu,arts,Bachelor,2009,Q2,Active,NA,Sept intake,1,3629,1338,294
83,Averyl,Redhead,Male,Singapore,ntu,arts,Phd.,1999,Q4,Active,NA,June Intake,3,2567,1012,469
84,Cassondra,Simionescu,Male,Singapore,nus,engineering,Phd.,2001,Q2,Active,NA,Sept intake,1,4430,1486,445
85,Ellynn,Bellay,Female,Singapore,nus,science,Phd.,2020,Q4,Active,NA,Sept intake,1,1966,1416,300
86,Filberte,Snazle,Male,Singapore,smu,engineering,Phd.,2018,Q4,Withdrawn,Academically unprepared,Sept intake,1,2300,1986,355
87,Bethina,Ebbles,Male,Singapore,ntu,engineering,Phd.,1993,Q4,Withdrawn,homesick,March Intake,2,2945,824,286
88,Shir,Gascoyen,Female,Singapore,ntu,arts,Phd.,2002,Q4,Active,NA,Sept intake,1,1355,1590,258
89,Amelina,Gossipin,Female,Singapore,ntu,science,Phd.,1999,Q4,Active,NA,Sept intake,1,2178,1792,357
90,Jodi,Mulvaney,Male,Singapore,smu,engineering,Phd.,2005,Q4,Withdrawn,homesick,June Intake,3,4036,1297,305
91,Christopher,Sandever,Male,Singapore,nus,engineering,Phd.,2020,Q4,Active,NA,June Intake,3,2874,1634,282
92,Sheryl,Braisted,Male,Singapore,ntu,engineering,Phd.,1998,Q3,Active,NA,March Intake,2,3895,848,452
93,Guss,Alker,Female,Singapore,nus,engineering,Phd.,2008,Q4,Withdrawn,homesick,Sept intake,1,1550,1956,275
94,Freda,Tamplin,Male,Singapore,smu,arts,Degree,2004,Q4,Active,NA,June Intake,3,2985,1788,391
95,Essa,Leyband,Male,Singapore,smu,science,Degree,1992,Q4,Withdrawn,Expensive,Sept intake,1,4358,855,472
96,Dallis,McCaughen,Male,Singapore,nus,science,Degree,2006,Q4,Active,NA,June Intake,3,4581,760,458
97,Benjy,Purser,Male,Singapore,smu,engineering,Degree,2014,Q4,Withdrawn,Expensive,Sept intake,1,2600,1251,206
98,Arman,Goodliffe,Male,Singapore,smu,engineering,Phd.,1995,Q4,Active,NA,March Intake,2,4234,1727,316
99,Danita,Gruczka,Female,Singapore,ntu,arts,Phd.,2014,Q1,Withdrawn,homesick,March Intake,2,3456,955,435
100,Liam,Baldin,Female,Singapore,ntu,science,Phd.,2013,Q3,Active,NA,June Intake,3,3353,1797,203
101,Connie,Stubbington,Female,Singapore,nus,arts,Phd.,2006,Q3,Withdrawn,Academically unprepared,June Intake,3,1566,1199,353
102,Zolly,Vink,Female,India,smu,science,Phd.,2017,Q2,Withdrawn,homesick,Sept intake,1,4935,540,232
103,Sheena,Pasek,Female,India,smu,science,Phd.,1995,Q4,Withdrawn,Academically unprepared,June Intake,3,4505,1437,385
104,Adan,Chastanet,Female,India,smu,engineering,Phd.,1996,Q4,Active,NA,June Intake,3,3472,1394,391
105,Isacco,Phelan,Female,India,smu,science,Phd.,2002,Q4,Active,NA,March Intake,2,3834,659,362
106,Shelli,Marlor,Male,India,smu,arts,Bachelor,2001,Q4,Withdrawn,homesick,Sept intake,1,3651,1024,447
107,Franny,Chastagnier,Male,India,nus,science,Phd.,1990,Q3,Active,NA,June Intake,3,1867,778,301
108,Bellina,Witten,Female,India,nus,science,Degree,2013,Q1,Withdrawn,Academically unprepared,June Intake,3,4372,655,341
109,Ara,Boarleyson,Male,India,ntu,engineering,Phd.,1991,Q4,Withdrawn,Expensive,Sept intake,1,4103,813,315
110,Raoul,Lowis,Male,India,smu,arts,Bachelor,1998,Q3,Withdrawn,homesick,June Intake,3,4712,914,396
111,Vito,Petyankin,Male,India,smu,arts,Phd.,2003,Q3,Active,NA,Sept intake,1,3408,930,475
112,Laurene,Gierok,Female,India,smu,science,Phd.,1998,Q2,Withdrawn,Academically unprepared,March Intake,2,2302,894,242
113,Riobard,Fidler,Male,India,nus,science,Phd.,1991,Q3,Withdrawn,homesick,Sept intake,1,4449,1128,307
114,Joanie,Acres,Female,India,smu,science,Degree,1990,Q1,Withdrawn,Academically unprepared,June Intake,3,2785,579,207
115,Dalis,Garthshore,Female,India,smu,arts,Degree,1994,Q4,Active,NA,Sept intake,1,1085,1347,417
116,Sergio,Devigne,Female,India,smu,arts,Degree,2020,Q4,Withdrawn,homesick,June Intake,3,1100,954,328
117,Avigdor,Iley,Female,India,smu,engineering,Phd.,1990,Q3,Active,NA,June Intake,3,3002,1944,413
118,Maxie,Pinxton,Female,India,nus,arts,Phd.,2010,Q1,Withdrawn,homesick,June Intake,3,2199,1590,309
119,Cacilie,Kettridge,Female,India,nus,arts,Bachelor,2016,Q4,Withdrawn,homesick,March Intake,2,1751,1897,281
120,Salaidh,Hodcroft,Female,India,ntu,engineering,Phd.,1991,Q4,Withdrawn,Expensive,June Intake,3,3258,779,262
121,Marissa,Blakeley,Male,India,smu,engineering,Phd.,1998,Q4,Withdrawn,homesick,Sept intake,1,1233,1982,423
122,Smith,Teresa,Male,India,smu,engineering,Bachelor,1991,Q3,Active,NA,Sept intake,1,4238,1463,489
123,Daron,Farriar,Male,India,nus,engineering,Bachelor,2012,Q2,Active,NA,Sept intake,1,4753,1289,285
124,Erich,Storrah,Male,India,ntu,engineering,Phd.,2005,Q4,Withdrawn,homesick,Sept intake,1,4413,1527,228
125,Shamus,Mifflin,Male,India,ntu,arts,Phd.,2019,Q4,Active,NA,March Intake,2,1402,1077,297
126,Lyell,Rumin,Female,India,ntu,engineering,Bachelor,2020,Q1,Active,NA,Sept intake,1,1795,531,332
127,Katharina,Bransdon,Female,India,smu,science,Degree,2019,Q4,Withdrawn,homesick,Sept intake,1,4959,1286,388
128,Etty,Blackey,Male,India,smu,engineering,Phd.,2017,Q3,Active,NA,Sept intake,1,1808,662,313
129,Raimondo,Vernham,Male,India,smu,engineering,Degree,1997,Q2,Active,NA,Sept intake,1,2620,1493,325
130,Rodi,Files,Male,India,smu,arts,Degree,2010,Q4,Active,NA,Sept intake,1,4071,901,500
131,Nathalie,Buglar,Male,India,smu,engineering,Degree,2001,Q4,Active,NA,Sept intake,1,3403,624,476
132,Meier,Tremontana,Female,India,nus,arts,Bachelor,1992,Q4,Active,NA,March Intake,2,2555,1600,321
133,Kort,Kasbye,Male,India,smu,arts,Phd.,2020,Q4,Active,NA,Sept intake,1,1329,1888,228
134,Annadiane,Cossem,Female,India,smu,arts,Phd.,1991,Q4,Withdrawn,homesick,Sept intake,1,4956,922,277
135,Grace,Rosgen,Male,India,nus,engineering,Degree,2010,Q4,Withdrawn,homesick,Sept intake,1,3006,699,379
136,Dene,Mager,Female,India,ntu,engineering,Phd.,1993,Q4,Active,NA,March Intake,2,2402,1291,367
137,Maisey,Garz,Female,India,nus,engineering,Bachelor,2001,Q4,Withdrawn,Expensive,Sept intake,1,4685,862,479
138,Spence,Renison,Male,India,ntu,engineering,Degree,1998,Q1,Active,NA,June Intake,3,1421,1371,232
139,Dennison,Morteo,Male,India,smu,arts,Bachelor,2007,Q4,Active,NA,Sept intake,1,4838,1598,393
140,Annmaria,Carvilla,Female,India,nus,engineering,Phd.,2001,Q2,Withdrawn,homesick,Sept intake,1,4364,934,389
141,Anatole,Hessing,Male,India,ntu,engineering,Phd.,2001,Q1,Withdrawn,homesick,Sept intake,1,3978,1498,332
142,Wallace,Wilgar,Male,India,ntu,engineering,Phd.,2012,Q3,Active,NA,March Intake,2,1147,686,332
143,Gamaliel,Tither,Female,India,nus,science,Bachelor,2017,Q4,Active,NA,June Intake,3,3625,747,274
144,Wye,Ketchell,Female,India,smu,engineering,Bachelor,2001,Q1,Withdrawn,Academically unprepared,Sept intake,1,1526,926,472
145,Gale,Cready,Female,India,nus,arts,Degree,2006,Q4,Withdrawn,homesick,Sept intake,1,2896,782,296
146,Marius,Eilhersen,Female,India,nus,arts,Phd.,1990,Q4,Active,NA,March Intake,2,1554,1792,409
147,Linet,Cridge,Female,India,nus,engineering,Phd.,1992,Q4,Active,NA,March Intake,2,2664,1493,432
148,Mandel,Wyatt,Male,India,nus,engineering,Phd.,2008,Q4,Withdrawn,homesick,Sept intake,1,2375,1158,499
149,Toddie,Blumfield,Female,India,smu,arts,Phd.,1992,Q2,Withdrawn,homesick,June Intake,3,3666,1948,220
150,Darb,Coultar,Female,India,smu,engineering,Degree,1995,Q4,Withdrawn,homesick,Sept intake,1,2365,1680,349
151,Carleen,Bellefant,Female,India,nus,engineering,Bachelor,2000,Q4,Active,NA,March Intake,2,2390,1885,304
152,Javier,Weekley,Male,India,smu,engineering,Bachelor,2006,Q1,Withdrawn,Academically unprepared,Sept intake,1,1465,1942,429
153,Aurelia,Lutman,Female,India,smu,engineering,Phd.,2016,Q3,Active,NA,March Intake,2,1804,794,227
154,Siobhan,McMeanma,Female,India,smu,engineering,Phd.,2006,Q3,Withdrawn,homesick,Sept intake,1,4186,1940,283
155,Hillery,Duddan,Female,India,smu,arts,Degree,2018,Q4,Withdrawn,homesick,June Intake,3,2489,1714,238
156,Drud,Lillecrap,Male,India,nus,science,Bachelor,2007,Q3,Withdrawn,homesick,March Intake,2,4934,1572,205
157,Minne,Heild,Female,India,smu,engineering,Phd.,2010,Q2,Withdrawn,Academically unprepared,March Intake,2,4625,1624,351
158,Larine,Tetlow,Female,India,smu,arts,Phd.,2000,Q4,Withdrawn,Academically unprepared,Sept intake,1,2329,1440,411
159,Lyn,Azema,Female,India,ntu,arts,Phd.,2016,Q4,Withdrawn,Academically unprepared,Sept intake,1,3524,1585,312
160,Hank,Petroulis,Male,India,smu,engineering,Phd.,1997,Q3,Withdrawn,homesick,June Intake,3,2218,1987,374
161,Rowen,Gartan,Male,India,smu,science,Phd.,1996,Q3,Withdrawn,Academically unprepared,March Intake,2,1105,1168,267
162,Ofella,Rowlstone,Male,India,smu,engineering,Degree,1996,Q1,Withdrawn,homesick,Sept intake,1,3252,1462,355
163,Luciana,Owlner,Female,India,nus,science,Phd.,2012,Q1,Active,NA,Sept intake,1,3567,1741,238
164,Terence,Bernaldo,Female,India,nus,engineering,Phd.,2000,Q4,Withdrawn,homesick,Sept intake,1,1151,1189,226
165,Nannette,Maffin,Male,India,smu,engineering,Bachelor,2012,Q3,Active,NA,June Intake,3,3489,1117,294
166,Judy,Rennix,Female,India,nus,science,Phd.,1996,Q4,Active,NA,Sept intake,1,1973,1072,408
167,Maisey,De Filippi,Male,India,nus,engineering,Phd.,2005,Q3,Withdrawn,Expensive,Sept intake,1,2825,1277,225
168,Sylvia,Slograve,Female,India,smu,engineering,Degree,1999,Q1,Withdrawn,Academically unprepared,Sept intake,1,1835,1155,373
169,Marylynne,Adamiak,Female,India,smu,engineering,Bachelor,1998,Q3,Active,NA,Sept intake,1,2304,991,307
170,Raquel,Bagby,Female,India,ntu,engineering,Bachelor,2017,Q4,Active,NA,Sept intake,1,3364,1350,349
171,Adella,Ruttgers,Female,India,smu,engineering,Phd.,2005,Q3,Active,NA,Sept intake,1,3446,513,311
172,Lynnell,Linsay,Male,India,smu,science,Phd.,2006,Q4,Withdrawn,Expensive,Sept intake,1,1310,1412,213
173,Krystle,Joiris,Female,India,smu,arts,Bachelor,2007,Q4,Withdrawn,homesick,Sept intake,1,3415,623,365
174,Stoddard,Millier,Male,India,nus,engineering,Phd.,1999,Q4,Withdrawn,homesick,Sept intake,1,3179,1781,442
175,Damien,Persich,Male,India,smu,engineering,Bachelor,2017,Q4,Withdrawn,homesick,Sept intake,1,3799,727,341
176,Neila,Amsberger,Female,India,smu,engineering,Bachelor,2019,Q3,Withdrawn,homesick,Sept intake,1,2055,551,292
177,Waldemar,Craney,Male,India,smu,arts,Phd.,2016,Q2,Active,NA,June Intake,3,4028,1200,365
178,Kamillah,Thaine,Male,India,smu,arts,Phd.,2017,Q4,Active,NA,Sept intake,1,2486,1268,232
179,Klara,Seedhouse,Male,India,ntu,science,Phd.,2009,Q4,Withdrawn,Academically unprepared,March Intake,2,2292,1147,340
180,Nanci,Ades,Female,India,smu,engineering,Degree,1996,Q4,Active,NA,June Intake,3,1440,1291,432
181,Gav,Schwander,Male,India,ntu,science,Phd.,2013,Q4,Withdrawn,Expensive,March Intake,2,1084,1140,279
182,Sammy,Apperley,Female,India,nus,arts,Bachelor,2014,Q2,Active,NA,Sept intake,1,1053,1031,434
183,Briggs,Dikes,Female,India,nus,engineering,Phd.,1995,Q4,Withdrawn,homesick,Sept intake,1,2469,1859,215
184,Cynde,Neely,Female,India,ntu,arts,Phd.,2001,Q3,Withdrawn,Academically unprepared,March Intake,2,1432,1824,333
185,Paolina,Ballston,Female,India,smu,engineering,Bachelor,2012,Q3,Withdrawn,Academically unprepared,Sept intake,1,3085,1867,498
186,Carleen,Boards,Female,India,smu,engineering,Phd.,1995,Q4,Withdrawn,Academically unprepared,June Intake,3,3682,1342,345
187,Amble,Gilbank,Male,India,smu,engineering,Degree,2011,Q2,Active,NA,March Intake,2,2012,539,244
188,Skip,Kordovani,Female,India,smu,engineering,Bachelor,1991,Q3,Withdrawn,homesick,Sept intake,1,1576,1519,396
189,Mahala,Lorentz,Male,India,smu,arts,Bachelor,1992,Q4,Withdrawn,Expensive,June Intake,3,2195,916,264
190,Alfie,Hosier,Female,India,ntu,arts,Phd.,1992,Q3,Withdrawn,Expensive,Sept intake,1,2476,594,458
191,Leontine,Healey,Male,India,smu,engineering,Phd.,1993,Q4,Active,NA,June Intake,3,3795,1527,239
192,Anabelle,Arnaud,Male,India,ntu,science,Phd.,1999,Q4,Withdrawn,Academically unprepared,Sept intake,1,3205,596,463
193,Melicent,Jennins,Female,India,ntu,arts,Bachelor,2005,Q4,Withdrawn,homesick,June Intake,3,2160,1150,403
194,Kathleen,Ewebank,Male,India,nus,science,Bachelor,2009,Q4,Withdrawn,homesick,March Intake,2,2665,1015,431
195,Maribelle,Force,Male,India,smu,engineering,Phd.,1997,Q4,Active,NA,Sept intake,1,3515,621,372
196,Zacherie,Segeswoeth,Female,India,ntu,arts,Phd.,2009,Q3,Withdrawn,homesick,June Intake,3,2589,1852,472
197,Debra,Zollner,Female,India,ntu,engineering,Bachelor,1998,Q4,Active,NA,Sept intake,1,3711,1821,437
198,Wallie,Gare,Female,India,ntu,science,Bachelor,2018,Q4,Withdrawn,Expensive,Sept intake,1,1619,1138,290
199,Janet,Lomaz,Female,India,ntu,engineering,Phd.,2001,Q1,Active,NA,Sept intake,1,4856,1331,249
200,Guillemette,Labin,Female,India,smu,engineering,Degree,2014,Q1,Withdrawn,homesick,June Intake,3,3201,1255,419
201,Shae,O'Fallon,Male,India,nus,engineering,Bachelor,2018,Q3,Active,NA,June Intake,3,3874,861,210
202,Rock,Vreede,Female,India,smu,science,Degree,2017,Q4,Withdrawn,homesick,Sept intake,1,2871,1525,305
203,Arabele,Fernao,Female,India,nus,engineering,Phd.,2013,Q4,Withdrawn,homesick,Sept intake,1,2587,985,265
204,Gearard,Pendle,Male,India,ntu,science,Phd.,2016,Q4,Active,NA,Sept intake,1,3414,1650,239
205,Reube,Titlow,Female,India,nus,engineering,Degree,1997,Q3,Active,NA,March Intake,2,3697,1421,401
206,Eugene,Lapre,Female,India,smu,engineering,Degree,1990,Q2,Withdrawn,Expensive,March Intake,2,1937,1868,383
207,Gertrud,Broszkiewicz,Male,India,ntu,engineering,Phd.,2011,Q4,Active,NA,Sept intake,1,1562,1057,361
208,Padraig,Mougel,Male,India,smu,arts,Phd.,2011,Q4,Active,NA,June Intake,3,1463,1986,266
209,Tanya,Rielly,Female,India,smu,science,Phd.,2019,Q3,Withdrawn,homesick,Sept intake,1,4381,1719,494
210,Salem,Jancic,Female,India,ntu,arts,Phd.,2012,Q4,Active,NA,March Intake,2,3077,1307,456
211,Ganny,Ivanichev,Female,India,ntu,arts,Bachelor,2012,Q4,Active,NA,June Intake,3,3890,950,338
212,Rochell,Leppard,Female,India,smu,arts,Phd.,2002,Q4,Withdrawn,homesick,Sept intake,1,3543,1477,369
213,Merv,Burn,Male,India,smu,science,Bachelor,2011,Q1,Active,NA,March Intake,2,3159,1407,263
214,Antony,Zeal,Female,India,smu,engineering,Bachelor,2012,Q3,Withdrawn,homesick,Sept intake,1,1822,1093,399
215,Marika,Sallan,Male,India,smu,engineering,Degree,2005,Q2,Withdrawn,Academically unprepared,Sept intake,1,2461,725,484
216,Liana,Wyett,Female,India,smu,science,Degree,2017,Q3,Withdrawn,homesick,June Intake,3,1599,1859,222
217,Leighton,Kobpac,Male,India,smu,engineering,Phd.,2011,Q4,Withdrawn,Expensive,June Intake,3,4549,1872,405
218,Hillary,Duny,Male,India,ntu,engineering,Phd.,2005,Q4,Withdrawn,Academically unprepared,Sept intake,1,1175,1296,487
219,Emanuele,Maletratt,Female,India,ntu,engineering,Phd.,2010,Q3,Withdrawn,Expensive,Sept intake,1,4882,1372,373
220,Dory,Hutten,Female,India,nus,science,Bachelor,1995,Q3,Withdrawn,homesick,Sept intake,1,2120,579,499
221,Hall,Popelay,Female,India,ntu,science,Phd.,2013,Q2,Active,NA,March Intake,2,1741,674,306
222,Fredric,Flounders,Female,India,nus,engineering,Phd.,1996,Q2,Active,NA,March Intake,2,4438,1401,268
223,Florinda,Bursnall,Male,India,nus,science,Phd.,1994,Q1,Withdrawn,Expensive,Sept intake,1,2209,872,467
224,Eddy,Marconi,Female,India,ntu,arts,Degree,2009,Q3,Active,NA,March Intake,2,4310,1648,302
225,Farly,Domenici,Male,India,smu,engineering,Phd.,2001,Q4,Active,NA,June Intake,3,2836,1093,314
226,Adi,Langham,Male,India,nus,science,Phd.,2011,Q4,Active,NA,June Intake,3,3381,1202,326
